gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76914.90598883854	3.071472456750697	0.1549709020691356	19.819672052889334	2.0141694278304185e-87	4.6124479897316584e-85
ENSG00000154734	22858.459198177643	3.441427149458694	0.1792125023185848	19.203052827982354	3.4896602440325184e-82	3.995660979417234e-80
ENSG00000154723	7342.064530596816	2.5817793779281972	0.16367524326641422	15.77379282538065	4.713234672255569e-56	3.597769133155084e-54
ENSG00000180509	30221.589541488967	2.9432831759052607	0.1997857995327066	14.732194093822073	4.0048896543208025e-49	2.2927993270986593e-47
ENSG00000183145	9990.720616948825	2.890420213621454	0.24856353373382728	11.628496627009827	2.9525159465006532e-31	1.352252303497299e-29
ENSG00000276289	11796.971131236274	2.859964092959891	0.4653988703737608	6.145189159275484	7.98682761946413e-10	3.048305874762143e-8
ENSG00000277277	724.4972580975741	0.928091966611554	0.2641734460606181	3.5131917323688584	4.4275785350544276e-4	0.014484506921820914
ENSG00000141959	16452.82789761961	2.6077976536600924	0.8311987025969084	3.137393797069904	0.0017045701486830744	0.048793320506053006
ENSG00000185437	2256.4911602792226	0.5145506969247452	0.19103289197744575	2.6935188573991513	0.007070214581841393	0.1798976821379643
ENSG00000160188	1876.1987514924438	-0.5378714938119782	0.2191118067986881	-2.4547809708226027	0.014097045154940485	0.31145073932823686
ENSG00000154719	1373.422286769715	-0.5890790032907528	0.24208724896756406	-2.4333334605726393	0.014960515862928408	0.31145073932823686
ENSG00000157557	3474.2510481583618	-0.4911871071001119	0.21008121210765882	-2.3380820310975583	0.019382993167873435	0.3585691829594693
ENSG00000160207	885.3069801758338	0.6326755846263864	0.27435300112244154	2.3060640198502087	0.02110705538726388	0.3585691829594693
ENSG00000177692	2181.337078415426	0.4592872795258556	0.2004107771639073	2.291729447015838	0.02192126009359201	0.3585691829594693
ENSG00000186930	103.4507577674282	-1.1276709743980777	0.5654122401658793	-1.9944226429679772	0.046105886050095364	0.6615938588649515
ENSG00000205929	1354.5935789995556	0.4727274991517431	0.23715419830939258	1.9933338836996695	0.04622489843597914	0.6615938588649515
ENSG00000184012	5524.002092445401	-0.3976352440486784	0.20868681479102713	-1.9054162307611944	0.05672598704356334	0.7592799167701049
ENSG00000183036	968.7223318694266	-0.5302785967071318	0.2815927559989984	-1.883140050339285	0.05968139083782484	0.7592799167701049
ENSG00000166265	1222.4441527022016	0.5305930165995789	0.30130900094968915	1.7609597288073524	0.07824521932124301	0.8722888868698373
ENSG00000187175	207.68025796866547	0.7780412122390212	0.4426397142780806	1.757730242321254	0.07879341954373555	0.8722888868698373
ENSG00000159128	2810.000456452336	0.3460232070052025	0.19764452940741756	1.7507350597694626	0.07999155731120779	0.8722888868698373
ENSG00000244624	102.07340708206702	0.9864268021748624	0.5760554866359638	1.7123815761835306	0.08682637206413496	0.886527918366326
ENSG00000274391	3083.1879711951487	0.287888716311033	0.17286095937948007	1.6654351413093431	0.09582597334764029	0.886527918366326
ENSG00000154721	3847.656942722685	-0.3251435696389773	0.19645773626609908	-1.6550306229660263	0.09791828629193206	0.886527918366326
ENSG00000197683	369.30569086819787	-0.6845975319345642	0.4221238657087163	-1.6217930033052574	0.10484767705670053	0.886527918366326
ENSG00000184221	1250.398175531374	-0.4611258520373195	0.28496145730991473	-1.6182042876620122	0.10561857914415977	0.886527918366326
ENSG00000154727	3764.7328322203357	0.2737494147405407	0.16997141165381485	1.6105615178280286	0.10727532700281264	0.886527918366326
ENSG00000142173	5506.533196907628	-0.31372507976654	0.19541344657864743	-1.6054426410225362	0.1083964266998128	0.886527918366326
ENSG00000212938	216.10648150567528	-0.713911264412499	0.450782740953247	-1.5837147245318834	0.1132586524792778	0.8943528075087798
ENSG00000156239	3663.9798051603466	-0.3657376828274955	0.23847020452898426	-1.5336829334712248	0.12510767436166126	0.954988580960681
ENSG00000160182	178.7296069797353	-0.6959428095671206	0.47544749090715155	-1.4637637654565492	0.14325850600221868	0.9590786444485749
ENSG00000186925	146.3805599585183	0.6767821108989666	0.472992291615787	1.4308523054086442	0.15247254870401142	0.9590786444485749
ENSG00000154654	5151.298966767092	0.3258303128984003	0.22882192779551147	1.4239470667757905	0.15446179559888054	0.9590786444485749
ENSG00000166351	1223.6615953228707	0.3471685467863172	0.24973976227324368	1.3901212351058274	0.1644920660108636	0.9590786444485749
ENSG00000159200	9649.506793239038	-0.23511748146671801	0.175882752883095	-1.3367853164260792	0.18129272352287085	0.9590786444485749
ENSG00000182591	328.5413400382249	-0.5011769488917502	0.37741145412034344	-1.3279325346918123	0.18420039550628992	0.9590786444485749
ENSG00000159263	4523.700746635981	-0.25407080829052786	0.1916243779786283	-1.3258793634224564	0.18487965954742946	0.9590786444485749
ENSG00000154640	1589.0243519651674	-0.24514732853605115	0.18800098979790125	-1.3039682865477544	0.19224439551511963	0.9590786444485749
ENSG00000160181	720.2890547347625	0.3381955960343113	0.262828004222517	1.2867563220089218	0.19817923522936265	0.9590786444485749
ENSG00000232263	142.43795931483643	-0.6722115253737194	0.5257347446697282	-1.2786134684630923	0.2010332047426569	0.9590786444485749
ENSG00000206104	85.51587121370734	0.7893878557273487	0.6250028603277296	1.2630147889458	0.206583864919259	0.9590786444485749
ENSG00000183527	1893.4225853196385	0.2403345303375246	0.19108106508709702	1.2577621452338947	0.20847778972755074	0.9590786444485749
ENSG00000157617	9316.144694275756	-0.24854708459242347	0.1978409951763711	-1.2562971813341768	0.20900824348763467	0.9590786444485749
